Code,Nome,Nome fantasia,Governança
ANIM,ANIMA HOLDING S.A.,ANIMA,NM
AOVS,AOVS SISTEMAS DE INFORMÁTICA S.A.,AOVSSISTEMA,-
ACES,APERAM INOX AMERICA DO SUL S.A.,APERAM,-
APOL,APOLLO 17 PARTICIPACOES S.A,APOLLO 17,-
ASPF,APSEN FARMACEUTICA S.A.,APSEN FARMA,-
AFOZ,AQUA-FOZ AQUÁRIO DE FOZ DO IGUAÇU S.A.,AQUAFOZAQU,-
AARJ,AQUA-RIO AQUARIO MARINHO DO RIO DE JANEIRO S/A,AQUARIO,-
ARSN,ARAUCARIA SANEAMENTO S/A,ARAUCARIA,-
INSU,Arco Insuretech S.A.,ARCOINSURETE,-
ARSP,ARCOS SANEAMENTO E PARTICIPACOES LTDA,ARCOS SANEAM,-
ARCV,ARCOVERDE TRANSMISSÃO DE ENERGIA S.A.,ARCOVERDE,-
AREG,AREIA ENERGIA S/A,AREIAENERGIA,-
ARPR,ARES 2 PARTICIPAÇÕES S.A.,ARES 2 PARTI,-
ARON,ARES ONE PARTICIPACOES S.A.,ARES ONE PAR,-
AGBP,ARGEB ENERGIA EMPREENDIMENTOS E PARTICIPACOES S.A.,ARGEB,-
AEEP,ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ARGO ENERGIA,-
TRGO,ARGO TRANSMISSAO DE ENERGIA S.A.,ARGO,-
ARKL,ARKLOK  EQUIPAMENTOS DE INFORMÁTICA S.A,ARKLOK,-
ARML,ARMAC LOCAÇÃO. LOGÍSTICA E SERVIÇOS S.A.,ARMAC,NM
AMTE,ARMAZEM MATEUS S.A.,ARMAZEMMATEU,-
ARMB,ARMCO DO BRASIL S.A.,ARMCO,-
ARQU,ARTECOLA QUIMICA S.A.,ARTECOLA,-
ARTP,ARTEON Z TRANSMISSAO E PARTICIPACOES S/A,ARTEON Z S/A,-
ARTR,ARTERIS S.A.,ARTERIS,-
CPNB,ARTHUR LUNDGREN TECIDOS S.A. - CASAS PERNAMBUCANAS,ARTHURLUNDG,-
ASAB,ASA BRANCA HOLDING S.A.,ASABRANCAH,-
ASIC,ASA INDUSTRIA E COMERCIO LTDA,ASA,-
0HBV,ASAP COMÉRCIO DE MÁQUINAS E VEÍCULOS LTDA,ASAP,-
ASCS,ASCENSUS GESTÃO E PARTICIPACOES S.A,ASCENSUS GES,-
ASCV,ASCENSUS TV PAR SPE S.A.,ASCENSUS TV,-
ASCY,ASCENTY DATA CENTERS E TELECOMUNICACOES S/A,ASCENTYSA,-
ASSR,ASSURUÁ 5 ENERGIA S.A.,ASSURUÁ 5,-
AISA,ASTER INVESTIMENTOS S.A.,ASTER INVEST,-
ASTP,ASTIC IE PARTICIPACOES S.A.,ASTICIEPARTI,-
AERE,ASTURIAS ENERGIA RENOVAVEL S.A.,ASTURIAS,-
CRFB,ATACADÃO S.A.,CARREFOUR BR,NM
ATKJ,ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A.,ATAKAREJO DI,-
LNDV,ATE V - LONDRINA TRANSMISSORA DE ENERGIA S/A,ATE V LONDRI,-
CNVI,ATE VI - CAMPOS NOVOS TRANSMISSORA DE ENERGIA S/A,ATE VI CAMPO,-
FVII,ATE VII FOZ DO IGUACU TRANSMISSORA DE ENERGIA S/A,ATE VII FOZ,-
ATEV,ATE VIII TRANSMISSORA DE ENERGIA S/A,ATE VIII TRA,-
ATEM,ATEMS DISTRIBUIDORA DE PETROLEO S/A,ATEMS,-
ATEB,ATENTO BRASIL S.A.,ATENTOBRASIL,-
ATES,ATHENA SAUDE BRASIL S.A.,ATHENA,-
AENE,ATHON ENERGIA S/A,ATHONENERGIA,-
ATII,ATHON GERAÇÃO DISTRIBUÍDA II S.A.,ATHONII,-
ATHT,ATHON GERAÇÃO DISTRIBUÍDA III S.A.,ATHON GERAÇÃ,-
AHGD,ATHON GERAÇÃO DISTRIBUÍDA S.A.,ATHONGERACAO,-
ATDC,ATIVAS DATA CENTER S.A.,ATIVAS,-
ATVO,ATIVOS S/A SECURITIZADORA DE CREDITOS FINANCEIROS,ATIVOS,-
ATLE,ATLANTIC ENERGIAS RENOVAVEIS S/A,ATLANTIC,-
ACRC,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A.,ATLAS LUIZ,-
ATMP,ATMA PARTICIPAÇÕES S.A.,ATMASA,-
ATOM,ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,ATOMPAR,-
ATRM,ATRIUM EMPREENDIMENTOS IMOBILIARIOS S/A,ATRIUMEMP,-
ATAM,ATTEND AMBIENTAL S.A.,ATTEND,-
ATVS,ATVOS AGROINDUSTRIAL PARTICIPACOES SA,ATVOSAGRO,-
AUCK,AUCKLAND PARTICIPACOES S.A.,AUCKLAND,-
AALM,AURA ALMAS MINERAÇÃO S.A.,AURAALMASMIN,-
AURA,AURA MINERALS INC.,AURA 360,DR3
AURT,AURATUS EMPREENDIMENTOS IMOBILIARIOS S/A,AURATUS,-
AURE,AUREN ENERGIA S.A.,AUREN,NM
APMC,AUTO POSTO MONTE CARLO ONDA VERDE LTDA.,MONTE CARLO,-
RICI,AUTO RICCI S.A.,AUTORICCI,-
ATGS,AUTOGERACAO SOLAR COMPARTILHADA SUDESTE S.A.,AUTOGE SOLAR,-
ASHS,AUTOGERACAO SOLAR HOLDING S.A.,AUTOGERACAO,-
ASVI,AUTOGERAÇÃO SOLAR PARTICIPAÇÕES VI HOLDING S.A,SOLAR PARTIC,-
GSVI,AUTOGERACAO SOLAR PARTICIPACOES VI S.A.,AUTO SOLAR,-
ATMB,AUTOMOB S.A.,AUTOMOB,-
AUUT,AUTOPASS S.A.,AUTOPASS S/A,-
APFD,AUTOPISTA FERNÃO DIAS SA,AUTOFERDIAS,-
PLSB,AUTOPISTA LITORAL SUL,AUTOLITSUL,-
